,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0,0.765,Wed Dec 27 14:41:32 +0000 2017,0.742,0.0,0.258,"RT @BBCSport: It was a record-breaking few days of festive football fixtures.

Here are some of the funniest football tweets that captured…",1,BBC
1,0.0,Wed Dec 27 14:33:19 +0000 2017,1.0,0.0,0.0,"RT @BBC_Future: ⚡️ “BBC Future's Most Read Stories of 2017”

https://t.co/Stf49AWaRs",2,BBC
2,0.0,Wed Dec 27 14:30:04 +0000 2017,1.0,0.0,0.0,"Your brain could store all data on the searchable internet. 

Here's how scientists made the calculations... https://t.co/9P7KJr9rYj",3,BBC
3,0.4404,Wed Dec 27 14:12:25 +0000 2017,0.838,0.0,0.162,RT @BBCFood: .@BegumNadiya's dal makes a quick and easy change from all the Christmas food. https://t.co/gYQKQ6XhYb https://t.co/YdH0NlnfIe,4,BBC
4,-0.5267,Wed Dec 27 14:12:16 +0000 2017,0.855,0.145,0.0,"RT @BBCWthrWatchers: Our #WeatherWatchers are snapping a lot of wintry scenes this morning, with snow lying across many parts of Wales and…",5,BBC
5,0.0,Wed Dec 27 14:00:04 +0000 2017,1.0,0.0,0.0,🎄Snuggle up with the family &amp; hunker down. @BBCiPlayer have more family-friendly box sets than ever before. 👉… https://t.co/Ta5GpGMZYs,6,BBC
6,0.0,Wed Dec 27 13:22:05 +0000 2017,1.0,0.0,0.0,"RT @bbcdoctorwho: Doctor Who returns in the Fall... (also known as Autumn)
#DoctorWho https://t.co/8PkI6SJUyI",7,BBC
7,-0.7184,Wed Dec 27 13:00:05 +0000 2017,0.65,0.35,0.0,"Apu: 'A stereotype hiding in plain sight.' 
Is it time to question this questionable portrayal?… https://t.co/Ci6S5ymkC6",8,BBC
8,0.0,Wed Dec 27 12:30:03 +0000 2017,1.0,0.0,0.0,"Soar with a white-tailed sea eagle over the coast of Scotland. 📺 #SlowOdyssey, coming to @BBCFOUR tonight at 9pm. https://t.co/Vc9MakZnHP",9,BBC
9,0.0,Wed Dec 27 12:00:03 +0000 2017,1.0,0.0,0.0,"Mo Farah has some tips for you if you're thinking of taking up running. 🏃

Via @BBCTheOneShow https://t.co/k6AW5NxO90",10,BBC
10,-0.4215,Wed Dec 27 11:30:06 +0000 2017,0.647,0.259,0.094,Be careful out there. ❄️ Snow sparks road warnings and power cuts: https://t.co/AbfeVw5vDe https://t.co/YCP6qelyQZ,11,BBC
11,0.25,Wed Dec 27 11:20:04 +0000 2017,0.8,0.0,0.2,"RT @bbcthree: ""My dream is to eradicate homelessness"" https://t.co/eK2KiSO2Dl",12,BBC
